year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2010,Deadwood,Boreal wet forest,73.58179224334445
2010,Deadwood,Cool temperate moist forest,72.52550928787794
2010,Deadwood,Cool temperate steppe,71.86384336371178
2010,Deadwood,Cool temperate wet forest,72.3258580112277
2010,Deadwood,Polar rain tundra,74.9865244914567
2010,Litter,Boreal wet forest,15.129277040731731
2010,Litter,Cool temperate moist forest,14.62145594418617
2010,Litter,Cool temperate steppe,14.266278728071178
2010,Litter,Cool temperate wet forest,14.543188974398744
2010,Litter,Polar rain tundra,15.742952191096144
2010,Soil Carbon,Boreal wet forest,66.56031915071486
2010,Soil Carbon,Cool temperate moist forest,65.23552361172702
2010,Soil Carbon,Cool temperate steppe,64.26328368247977
2010,Soil Carbon,Cool temperate wet forest,65.0517299942411
2010,Soil Carbon,Polar rain tundra,68.0872986897217
2010,Total Biomass,Boreal wet forest,7.802590274161629
2010,Total Biomass,Cool temperate moist forest,7.802590274163117
2010,Total Biomass,Cool temperate steppe,7.802590274162561
2010,Total Biomass,Cool temperate wet forest,7.802590274162499
2010,Total Biomass,Polar rain tundra,7.8025902741625615
