year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2015,Deadwood,Boreal wet forest,60.44543387739028
2015,Deadwood,Cool temperate moist forest,58.90743981559858
2015,Deadwood,Cool temperate steppe,57.88896335053279
2015,Deadwood,Cool temperate wet forest,58.64132317194953
2015,Deadwood,Polar rain tundra,62.401567832707244
2015,Litter,Boreal wet forest,17.76374437556421
2015,Litter,Cool temperate moist forest,16.975097449560444
2015,Litter,Cool temperate steppe,16.421094183664636
2015,Litter,Cool temperate wet forest,16.854746740921737
2015,Litter,Polar rain tundra,18.712676746679424
2015,Soil Carbon,Boreal wet forest,65.85025007203924
2015,Soil Carbon,Cool temperate moist forest,64.60644040320838
2015,Soil Carbon,Cool temperate steppe,63.69244731171286
2015,Soil Carbon,Cool temperate wet forest,64.43441109636433
2015,Soil Carbon,Polar rain tundra,67.2819701307857
2015,Total Biomass,Boreal wet forest,23.25759369196002
2015,Total Biomass,Cool temperate moist forest,23.257593691962374
2015,Total Biomass,Cool temperate steppe,23.25759369196127
2015,Total Biomass,Cool temperate wet forest,23.25759369196125
2015,Total Biomass,Polar rain tundra,23.257593691961485
