year,indicator,LifeZone,pool_tc_sum,area_sum,pool_tc_per_ha,run
2012,Litter,Cool temperate wet forest,2892244.7369581945,184465.87289243154,15.679023396619076,"Modified Decay, Turnover and Spinup parameters"
2012,Litter,Polar rain tundra,7106942.427809976,414548.85008504183,17.143799642314857,"Modified Decay, Turnover and Spinup parameters"
2012,Soil Carbon,Boreal wet forest,342816203.6901212,5190377.072927469,66.04841977247068,"Modified Decay, Turnover and Spinup parameters"
2012,Soil Carbon,Cool temperate moist forest,433410055.7207025,6692252.221012427,64.762958927321307,"Modified Decay, Turnover and Spinup parameters"
2012,Soil Carbon,Cool temperate steppe,2658465.181325074,41655.13748523968,63.82082359629925,"Modified Decay, Turnover and Spinup parameters"
2012,Soil Carbon,Cool temperate wet forest,11913584.549995538,184465.87289243154,64.58422017682784,"Modified Decay, Turnover and Spinup parameters"
2012,Soil Carbon,Polar rain tundra,27995250.38199131,414548.85008504183,67.53184908424731,"Modified Decay, Turnover and Spinup parameters"
2012,Total Biomass,Boreal wet forest,80979788.58680497,5190377.072927469,15.601908579857929,"Modified Decay, Turnover and Spinup parameters"
2012,Total Biomass,Cool temperate moist forest,104411907.3456021,6692252.221012427,15.601908579860176,"Modified Decay, Turnover and Spinup parameters"
2012,Total Biomass,Cool temperate steppe,649899.6469261976,41655.13748523968,15.60190857985973,"Modified Decay, Turnover and Spinup parameters"
2012,Total Biomass,Cool temperate wet forest,2878019.684971779,184465.87289243154,15.60190857985993,"Modified Decay, Turnover and Spinup parameters"
2012,Total Biomass,Polar rain tundra,6467753.260912812,414548.85008504183,15.601908579859762,"Modified Decay, Turnover and Spinup parameters"
2013,Deadwood,Boreal wet forest,337038659.5263893,5190377.072927469,64.93529367728445,"Modified Decay, Turnover and Spinup parameters"
2013,Deadwood,Cool temperate moist forest,425212031.64770585,6692252.221012427,63.53795667064359,"Modified Decay, Turnover and Spinup parameters"
2013,Deadwood,Cool temperate steppe,2608503.4017213355,41655.13748523968,62.62140900736789,"Modified Decay, Turnover and Spinup parameters"
2013,Deadwood,Cool temperate wet forest,11675227.268545538,184465.87289243154,63.29207178258804,"Modified Decay, Turnover and Spinup parameters"
2013,Deadwood,Polar rain tundra,27661621.02091714,414548.85008504183,66.72704800711074,"Modified Decay, Turnover and Spinup parameters"
