year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2019,Deadwood,Boreal wet forest,53.43554672131438
2019,Deadwood,Cool temperate moist forest,51.72525633335129
2019,Deadwood,Cool temperate steppe,50.58553394231064
2019,Deadwood,Cool temperate wet forest,51.43292986667452
2019,Deadwood,Polar rain tundra,55.598649188799705
2019,Litter,Boreal wet forest,18.934355209391182
2019,Litter,Cool temperate moist forest,17.978454697729195
2019,Litter,Cool temperate steppe,17.318488875338463
2019,Litter,Cool temperate wet forest,17.828098361465077
2019,Litter,Polar rain tundra,20.102504961482783
2019,Soil Carbon,Boreal wet forest,65.77809534053591
2019,Soil Carbon,Cool temperate moist forest,64.54782406219671
2019,Soil Carbon,Cool temperate steppe,63.64049698739219
2019,Soil Carbon,Cool temperate wet forest,64.37906096241518
2019,Soil Carbon,Polar rain tundra,67.18893904000271
2019,Total Biomass,Boreal wet forest,30.306928278641696
2019,Total Biomass,Cool temperate moist forest,30.306928278646577
2019,Total Biomass,Cool temperate steppe,30.306928278644783
2019,Total Biomass,Cool temperate wet forest,30.30692827864488
2019,Total Biomass,Polar rain tundra,30.30692827864485
