year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2018,Deadwood,Boreal wet forest,54.99509025449377
2018,Deadwood,Cool temperate moist forest,53.31861653846235
2018,Deadwood,Cool temperate steppe,52.20235889907716
2018,Deadwood,Cool temperate wet forest,53.03157425556863
2018,Deadwood,Polar rain tundra,57.11703863328017
2018,Litter,Boreal wet forest,18.686602592897827
2018,Litter,Cool temperate moist forest,17.76590605919065
2018,Litter,Cool temperate steppe,17.127162586474462
2018,Litter,Cool temperate wet forest,17.62232819898831
2018,Litter,Polar rain tundra,19.806848976909183
2018,Soil Carbon,Boreal wet forest,65.79410826585267
2018,Soil Carbon,Cool temperate moist forest,64.56281174080354
2018,Soil Carbon,Cool temperate steppe,63.65528936701765
2018,Soil Carbon,Cool temperate wet forest,64.39365382394679
2018,Soil Carbon,Polar rain tundra,67.20705522125601
2018,Total Biomass,Boreal wet forest,28.768091328647465
2018,Total Biomass,Cool temperate moist forest,28.76809132864961
2018,Total Biomass,Cool temperate steppe,28.768091328651387
2018,Total Biomass,Cool temperate wet forest,28.768091328651455
2018,Total Biomass,Polar rain tundra,28.76809132865133
