year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2020,Deadwood,Boreal wet forest,51.97801680976805
2020,Deadwood,Cool temperate moist forest,50.23813164916242
2020,Deadwood,Cool temperate steppe,49.07798862980729
2020,Deadwood,Cool temperate wet forest,49.94112777116222
2020,Deadwood,Polar rain tundra,54.177326631418694
2020,Litter,Boreal wet forest,19.16213265614898
2020,Litter,Cool temperate moist forest,18.175205690346203
2020,Litter,Cool temperate steppe,17.49716055085015
2020,Litter,Cool temperate wet forest,18.018594613975868
2020,Litter,Polar rain tundra,20.37354137103172
2020,Soil Carbon,Boreal wet forest,65.76083322813162
2020,Soil Carbon,Cool temperate moist forest,64.53084940708965
2020,Soil Carbon,Cool temperate steppe,63.623341200815986
2020,Soil Carbon,Cool temperate wet forest,64.36231220585705
2020,Soil Carbon,Polar rain tundra,67.1706883253189
2020,Total Biomass,Boreal wet forest,31.73040007648648
2020,Total Biomass,Cool temperate moist forest,31.73040007649022
2020,Total Biomass,Cool temperate steppe,31.730400076489474
2020,Total Biomass,Cool temperate wet forest,31.73040007648993
2020,Total Biomass,Polar rain tundra,31.73040007648969
