year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2016,Deadwood,Boreal wet forest,58.48133233287601
2016,Deadwood,Cool temperate moist forest,56.88954823965847
2016,Deadwood,Cool temperate steppe,55.832763098240186
2016,Deadwood,Cool temperate wet forest,56.615436249947315
2016,Deadwood,Polar rain tundra,60.501358490904984
2016,Litter,Boreal wet forest,18.108508072241868
2016,Litter,Cool temperate moist forest,17.271461977222533
2016,Litter,Cool temperate steppe,16.685585390351584
2016,Litter,Cool temperate wet forest,17.142936649701085
2016,Litter,Polar rain tundra,19.118921438299804
2016,Soil Carbon,Boreal wet forest,65.82730577773452
2016,Soil Carbon,Cool temperate moist forest,64.58989460713565
2016,Soil Carbon,Cool temperate steppe,63.67954326361431
2016,Soil Carbon,Cool temperate wet forest,64.41918013942701
2016,Soil Carbon,Polar rain tundra,67.2499844287738
2016,Total Biomass,Boreal wet forest,25.269368862054318
2016,Total Biomass,Cool temperate moist forest,25.26936886205906
2016,Total Biomass,Cool temperate steppe,25.269368862059174
2016,Total Biomass,Cool temperate wet forest,25.269368862059057
2016,Total Biomass,Polar rain tundra,25.269368862059252
