year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2011,Deadwood,Boreal wet forest,70.38849961511394
2011,Deadwood,Cool temperate moist forest,69.19575047350251
2011,Deadwood,Cool temperate steppe,68.43103871043074
2011,Deadwood,Cool temperate wet forest,68.97797516878575
2011,Deadwood,Polar rain tundra,71.94653280349195
2011,Litter,Boreal wet forest,15.799480544790075
2011,Litter,Cool temperate moist forest,15.234729717240542
2011,Litter,Cool temperate steppe,14.837484858353646
2011,Litter,Cool temperate wet forest,15.148573543721353
2011,Litter,Polar rain tundra,16.478476741219882
2011,Soil Carbon,Boreal wet forest,66.23242528046019
2011,Soil Carbon,Cool temperate moist forest,64.9259654466809
2011,Soil Carbon,Cool temperate steppe,63.96811964617977
2011,Soil Carbon,Cool temperate wet forest,64.74440928850211
2011,Soil Carbon,Polar rain tundra,67.73961414027751
2011,Total Biomass,Boreal wet forest,12.16245997755473
2011,Total Biomass,Cool temperate moist forest,12.162459977556317
2011,Total Biomass,Cool temperate steppe,12.16245997755652
2011,Total Biomass,Cool temperate wet forest,12.162459977556498
2011,Total Biomass,Polar rain tundra,12.162459977556674
