year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2013,Deadwood,Boreal wet forest,64.93529367728445
2013,Deadwood,Cool temperate moist forest,63.53795667064359
2013,Deadwood,Cool temperate steppe,62.62140900736789
2013,Deadwood,Cool temperate wet forest,63.29207178258804
2013,Deadwood,Polar rain tundra,66.72704800711074
2013,Litter,Boreal wet forest,16.917717341186655
2013,Litter,Cool temperate moist forest,16.237013773212567
2013,Litter,Cool temperate steppe,15.756833867076837
2013,Litter,Cool temperate wet forest,16.13380954508913
2013,Litter,Polar rain tundra,17.733829594690654
2013,Soil Carbon,Boreal wet forest,65.94464461247189
2013,Soil Carbon,Cool temperate moist forest,64.67730962749667
2013,Soil Carbon,Cool temperate steppe,63.748035500952774
2013,Soil Carbon,Cool temperate wet forest,64.50125089947308
2013,Soil Carbon,Polar rain tundra,67.40652961695857
2013,Total Biomass,Boreal wet forest,18.499463269268418
2013,Total Biomass,Cool temperate moist forest,18.49946326926992
2013,Total Biomass,Cool temperate steppe,18.4994632692695
2013,Total Biomass,Cool temperate wet forest,18.499463269269462
2013,Total Biomass,Polar rain tundra,18.499463269269523
