year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2012,Deadwood,Boreal wet forest,67.52242224651374
2012,Deadwood,Cool temperate moist forest,66.21756284440549
2012,Deadwood,Cool temperate steppe,65.36919579917237
2012,Deadwood,Cool temperate wet forest,65.98454669309258
2012,Deadwood,Polar rain tundra,69.20785976216732
2012,Litter,Boreal wet forest,16.396587872486396
2012,Litter,Cool temperate moist forest,15.773581125434609
2012,Litter,Cool temperate steppe,15.334221149093578
2012,Litter,Cool temperate wet forest,15.679023396619076
2012,Litter,Polar rain tundra,17.143799642314857
2012,Soil Carbon,Boreal wet forest,66.04841977247068
2012,Soil Carbon,Cool temperate moist forest,64.762958927321307
2012,Soil Carbon,Cool temperate steppe,63.82082359629925
2012,Soil Carbon,Cool temperate wet forest,64.58422017682784
2012,Soil Carbon,Polar rain tundra,67.53184908424731
2012,Total Biomass,Boreal wet forest,15.601908579857929
2012,Total Biomass,Cool temperate moist forest,15.601908579860176
2012,Total Biomass,Cool temperate steppe,15.60190857985973
2012,Total Biomass,Cool temperate wet forest,15.60190857985993
2012,Total Biomass,Polar rain tundra,15.601908579859762
