year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2017,Deadwood,Boreal wet forest,56.67128816363637
2017,Deadwood,Cool temperate moist forest,55.033884529071116
2017,Deadwood,Cool temperate steppe,53.944934043585384
2017,Deadwood,Cool temperate wet forest,54.75286136575946
2017,Deadwood,Polar rain tundra,58.74601004808719
2017,Litter,Boreal wet forest,18.413510224410004
2017,Litter,Cool temperate moist forest,17.532407031840442
2017,Litter,Cool temperate steppe,16.918299170219445
2017,Litter,Cool temperate wet forest,17.396118035641216
2017,Litter,Polar rain tundra,19.481141948423257
2017,Soil Carbon,Boreal wet forest,65.80984479496921
2017,Soil Carbon,Cool temperate moist forest,64.57636005591819
2017,Soil Carbon,Cool temperate steppe,63.66797147615479
2017,Soil Carbon,Cool temperate wet forest,64.40657620112003
2017,Soil Carbon,Polar rain tundra,67.2265208428049
2017,Total Biomass,Boreal wet forest,27.096367033552585
2017,Total Biomass,Cool temperate moist forest,27.096367033555346
2017,Total Biomass,Cool temperate steppe,27.096367033554312
2017,Total Biomass,Cool temperate wet forest,27.096367033554177
2017,Total Biomass,Polar rain tundra,27.096367033554348
